"","tickers2"
"399","FRC"
"400","CBOE"
"401","STX"
"402","DG"
"403","FTNT"
"404","MSI"
"405","HFC"
"406","TSLA"
"407","TEL"
"408","ORLY"
"409","GM"
"410","CBRE"
"411","EXPE"
"412","APTV"
"413","PSX"
"414","AMT"
"415","FB"
"416","DUK"
"417","FANG"
"418","NOW"
"419","MDLZ"
"420","ETN"
"421","ABBV"
"422","TMUS"
"423","ZTS"
"424","NCLH"
"425","LB"
"426","NWSA"
"427","NWS"
"428","CDW"
"429","AAL"
"430","INFO"
"431","WLTW"
"432","UA"
"433","BKR"
"434","LW"
"435","IQV"
"436","BKNG"
"437","FTI"
"438","LDOS"
"439","AVGO"
"440","TPR"
"441","TWTR"
"442","EVRG"
"443","ALLE"
"444","ICE"
"445","STE"
"446","PRGO"
"447","VNT"
"448","CI"
"449","DOW"
"450","AMCR"
"451","PEAK"
"452","XRX"
"453","FOXA"
"454","FOX"
"455","NLOK"
"456","DD"
"457","CARR"
"458","OTIS"
"459","GL"
"460","CTVA"
"461","LHX"
"462","TT"
"463","HWM"
"464","TFC"
"465","VIAC"
"466","IR"
"467","PAYC"
"468","AON"
"469","PNR"
"470","RTX"
"471","VTRS"
"472","ANET"
"473","CTLT"
"474","SYF"
"475","CFG"
"476","KEYS"
"477","QRVO"
"478","ANTM"
"479","CCI"
"480","MDT"
"481","WBA"
"482","IRM"
"483","EQIX"
"484","ES"
"485","NLSN"
"486","ETSY"
"487","JCI"
"488","XRAY"
"489","WRK"
"490","KHC"
"491","FTV"
"492","SPGI"
"493","HLT"
"494","GOOGL"
"495","WELL"
"496","HPE"
"497","PYPL"
"498","HPQ"
"499","DXC"
"500","GOOG"
"501","WEC"
"502","MNST"
"503","LIN"
"504","SBAC"
"505","CHTR"
