"x"
"AMZN"
"ABT"
"AES"
"ABMD"
"IBM"
"AMD"
"ADBE"
"ARE"
"APD"
"BXP"
"ALL"
"HON"
"AMGN"
"HES"
"AXP"
"AEP"
"AFL"
"AIG"
"ADI"
"ALXN"
"VLO"
"CMCSA"
"ANSS"
"AAPL"
"AMAT"
"ADM"
"AEE"
"ADSK"
"ADP"
"AZO"
"BLL"
"BRK.B"
"BAX"
"BDX"
"AME"
"VZ"
"WRB"
"BBY"
"BIO"
"YUM"
"FE"
"BA"
"BSX"
"CHRW"
"TTWO"
"MTD"
"BMY"
"OKE"
"AVB"
"URI"
"SRE"
"FDX"
"VRSN"
"APH"
"BF.B"
"CSX"
"CPB"
"STZ"
"CAH"
"CAT"
"CTXS"
"LUMN"
"CERN"
"JPM"
"CHD"
"CINF"
"CTAS"
"CSCO"
"CLX"
"KO"
"CPRT"
"CL"
"MAR"
"CAG"
"ED"
"CMS"
"COO"
"GLW"
"CMI"
"DHI"
"DHR"
"MCO"
"CTSH"
"TGT"
"DE"
"MS"
"RSG"
"DIS"
"DLTR"
"DOV"
"OMC"
"DTE"
"DRE"
"DRI"
"EBAY"
"BAC"
"C"
"CDNS"
"ECL"
"EA"
"CRM"
"EMR"
"ATO"
"ETR"
"EOG"
"EFX"
"EQR"
"EL"
"EXPD"
"XOM"
"FMC"
"NEE"
"FAST"
"FITB"
"MTB"
"FISV"
"FCX"
"AJG"
"GD"
"GIS"
"GPC"
"GILD"
"IT"
"MCK"
"NVDA"
"GE"
"GWW"
"GS"
"HAS"
"HSY"
"HOLX"
"HD"
"HRL"
"HUM"
"JBHT"
"IEX"
"ITW"
"INTU"
"IDXX"
"INTC"
"IFF"
"IP"
"J"
"JKHY"
"INCY"
"JNJ"
"HIG"
"KLAC"
"K"
"KEY"
"KMB"
"BLK"
"KR"
"LRCX"
"TDY"
"AKAM"
"LEN"
"LLY"
"UPS"
"A"
"LMT"
"LOW"
"D"
"MGM"
"MKC"
"MCD"
"EW"
"MMC"
"MAS"
"MLM"
"MET"
"MXIM"
"ATVI"
"CVS"
"LH"
"MSFT"
"MU"
"MAA"
"MCHP"
"MMM"
"KSU"
"ILMN"
"XEL"
"F"
"NEM"
"NVR"
"NKE"
"NSC"
"NTRS"
"NOC"
"WFC"
"NUE"
"COF"
"ODFL"
"ORCL"
"PCAR"
"EXC"
"PH"
"PAYX"
"ALGN"
"PPL"
"PEP"
"PFE"
"COP"
"PXD"
"MO"
"PNC"
"PPG"
"COST"
"TROW"
"DGX"
"PG"
"PGR"
"PEG"
"PHM"
"GPN"
"QCOM"
"O"
"REGN"
"RMD"
"USB"
"ROST"
"ROL"
"ROP"
"ROK"
"RCL"
"TRV"
"FIS"
"MRK"
"SLB"
"SCHW"
"POOL"
"ZBH"
"ABC"
"PFG"
"SHW"
"CNC"
"SIVB"
"SPG"
"PRU"
"AAP"
"EIX"
"SO"
"LUV"
"T"
"CVX"
"STT"
"SBUX"
"PSA"
"SYK"
"NFLX"
"SNPS"
"SYY"
"ISRG"
"TFX"
"TER"
"TXN"
"TMO"
"TSCO"
"TYL"
"TSN"
"UNP"
"UNH"
"VAR"
"VTR"
"VFC"
"VRTX"
"VMC"
"WMT"
"WM"
"WAT"
"WST"
"SJM"
"WDC"
"WAB"
"WY"
"WHR"
"SWKS"
"NDAQ"
"CME"
"WMB"
"LNT"
"KMX"
"XLNX"
"TJX"
"ZBRA"
"RF"
"DPZ"
"EXR"
"LVS"
"DLR"
"MKTX"
"CE"
"DXCM"
"AMP"
"LYV"
"CMG"
"TDG"
"MA"
"BR"
"DAL"
"DFS"
"BK"
"ULTA"
"MSCI"
"PM"
"V"
"AWK"
"CB"
"MPC"
"FBHS"
"KMI"
"XYL"
"SWK"
"LYB"
"GRMN"
"PLD"
"ACN"
"HCA"
"VRSK"
"FLT"
"FRC"
"STX"
"DG"
"FTNT"
"TEL"
"ORLY"
"GM"
"CBRE"
"EXPE"
"APTV"
"PSX"
"AMT"
"FB"
"DUK"
"NOW"
"MDLZ"
"ETN"
"ABBV"
"TMUS"
"ZTS"
"CDW"
"INFO"
"WLTW"
"IQV"
"BKNG"
"LDOS"
"AVGO"
"TWTR"
"EVRG"
"ICE"
"STE"
"CI"
"DOW"
"AMCR"
"PEAK"
"NLOK"
"DD"
"CARR"
"OTIS"
"CTVA"
"LHX"
"TT"
"TFC"
"VIAC"
"IR"
"PAYC"
"AON"
"RTX"
"ANET"
"CTLT"
"SYF"
"CFG"
"KEYS"
"QRVO"
"ANTM"
"CCI"
"MDT"
"WBA"
"EQIX"
"ES"
"ETSY"
"JCI"
"KHC"
"FTV"
"SPGI"
"HLT"
"GOOGL"
"WELL"
"HPE"
"PYPL"
"HPQ"
"GOOG"
"WEC"
"MNST"
"LIN"
"SBAC"
"CHTR"
