tickers2
AMZN
ABT
AES
ABMD
IBM
AMD
ADBE
ARE
APD
ALK
BXP
ALL
HON
AMGN
HES
AXP
AEP
AFL
AIG
ADI
ALXN
VLO
APA
CMCSA
ANSS
AAPL
AMAT
ALB
ADM
PNW
AEE
ADSK
ADP
AZO
AVY
BLL
BRK.B
BAX
BDX
AME
VZ
WRB
BBY
SLG
BIO
YUM
FE
BA
RHI
BWA
BSX
CHRW
TTWO
MTD
BMY
OKE
AVB
URI
SRE
FDX
VRSN
APH
BF.B
PWR
CSX
COG
CPB
STZ
CAH
CAT
CTXS
LUMN
CERN
JPM
CHD
CINF
CTAS
CSCO
CLX
KO
CPRT
CL
MAR
CMA
NRG
CAG
ED
CMS
COO
GLW
SEE
CMI
DHI
DHR
MCO
CTSH
TGT
DE
MS
RSG
DIS
DLTR
DOV
OMC
DTE
DRE
FLS
DRI
EBAY
BAC
C
EMN
CDNS
DISH
ECL
PKI
EA
CRM
EMR
ATO
ESS
ETR
EOG
EFX
EQR
EL
EXPD
XOM
FMC
NEE
AIZ
FAST
FRT
FITB
MTB
FISV
FLIR
BEN
FCX
AJG
GPS
GD
GIS
GPC
GILD
IT
MCK
NVDA
GE
GWW
HAL
GS
HAS
HSIC
HSY
FFIV
JNPR
HOLX
UNM
HD
HRL
CNP
HUM
JBHT
HBAN
BIIB
IEX
ITW
INTU
IDXX
INTC
IFF
IP
IPG
J
JKHY
INCY
JNJ
HIG
KLAC
DVN
K
KEY
KIM
KMB
BLK
KR
LRCX
TDY
PKG
AKAM
LEG
LEN
LLY
LNC
UPS
A
LMT
L
CCL
LOW
D
MGM
MKC
MCD
RE
EW
HST
MMC
MAS
MLM
MET
MXIM
ATVI
CVS
LH
MSFT
MU
MAA
MCHP
MMM
MHK
KSU
ILMN
XEL
F
NOV
NTAP
NWL
NEM
NVR
NKE
NSC
NI
NTRS
NOC
WFC
NUE
COF
OXY
ODFL
ORCL
PCAR
EXC
PH
PAYX
ALGN
PPL
PEP
PFE
COP
PXD
MO
PNC
PPG
IPGP
COST
TROW
DGX
PG
PGR
PEG
PHM
GPN
QCOM
RJF
O
REG
UDR
REGN
RMD
USB
ROST
ROL
ROP
ROK
RCL
TRV
FIS
MRK
SLB
SCHW
POOL
ZBH
ABC
PFG
SHW
CNC
SIVB
SPG
AOS
SNA
PRU
AAP
EIX
SO
LUV
T
CVX
STT
SBUX
PSA
SYK
NFLX
SNPS
SYY
ISRG
TFX
TER
TXN
TXT
TMO
TIF
DVA
TSCO
TYL
TSN
MRO
UNP
UNH
UHS
VAR
VTR
VFC
VRTX
VMC
VNO
WMT
WM
WAT
WST
SJM
WDC
WAB
WY
WHR
SWKS
WYNN
NDAQ
CME
WMB
LKQ
LNT
KMX
XLNX
TJX
ZBRA
ZION
RF
DPZ
EXR
LVS
DLR
MKTX
CE
TAP
DXCM
CF
AMP
UAA
LYV
CMG
TDG
MA
HBI
WU
BR
PBCT
DAL
DFS
CXO
BK
ULTA
IVZ
MSCI
PM
V
AWK
CB
DISCA
DISCK
MPC
FBHS
MOS
KMI
XYL
SWK
LYB
PVH
GRMN
HII
PLD
ACN
HCA
VRSK
UAL
FLT
RL
FRC
CBOE
STX
DG
FTNT
MSI
HFC
TEL
ORLY
GM
CBRE
EXPE
APTV
PSX
AMT
FB
DUK
FANG
NOW
MDLZ
ETN
ABBV
TMUS
ZTS
NCLH
LB
NWSA
NWS
CDW
AAL
INFO
WLTW
UA
BKR
LW
IQV
BKNG
FTI
LDOS
AVGO
TPR
TWTR
EVRG
ALLE
ICE
STE
PRGO
VNT
CI
DOW
AMCR
PEAK
XRX
FOXA
FOX
NLOK
DD
CARR
OTIS
GL
CTVA
LHX
TT
HWM
TFC
VIAC
IR
PAYC
AON
PNR
RTX
VTRS
AIV
ANET
CTLT
SYF
CFG
KEYS
QRVO
ANTM
CCI
MDT
WBA
IRM
EQIX
ES
NLSN
ETSY
JCI
XRAY
WRK
KHC
FTV
SPGI
HLT
GOOGL
WELL
HPE
PYPL
HPQ
DXC
GOOG
WEC
MNST
LIN
SBAC
CHTR
