"Index","AMZN","ABT","AES","ABMD","IBM","AMD","ADBE","ARE","APD","BXP","ALL","HON","AMGN","HES","AXP","AEP","AFL","AIG","ADI","ALXN","VLO","CMCSA","ANSS","AAPL","AMAT","ADM","AEE","ADSK","ADP","AZO","BLL","BRK.B","BAX","BDX","AME","VZ","WRB","BBY","BIO","YUM","FE","BA","BSX","CHRW","TTWO","MTD","BMY","OKE","AVB","URI","SRE","FDX","VRSN","APH","BF.B","CSX","CPB","STZ","CAH","CAT","CTXS","LUMN","CERN","JPM","CHD","CINF","CTAS","CSCO","CLX","KO","CPRT","CL","MAR","CAG","ED","CMS","COO","GLW","CMI","DHI","DHR","MCO","CTSH","TGT","DE","MS","RSG","DIS","DLTR","DOV","OMC","DTE","DRE","DRI","EBAY","BAC","C","CDNS","ECL","EA","CRM","EMR","ATO","ETR","EOG","EFX","EQR","EL","EXPD","XOM","FMC","NEE","FAST","FITB","MTB","FISV","FCX","AJG","GD","GIS","GPC","GILD","IT","MCK","NVDA","GE","GWW","GS","HAS","HSY","HOLX","HD","HRL","CNP","HUM","JBHT","IEX","ITW","INTU","IDXX","INTC","IFF","IP","J","JKHY","INCY","JNJ","HIG","KLAC","K","KEY","KMB","BLK","KR","LRCX","TDY","AKAM","LEN","LLY","UPS","A","LMT","LOW","D","MGM","MKC","MCD","EW","MMC","MAS","MLM","MET","MXIM","ATVI","CVS","LH","MSFT","MU","MAA","MCHP","MMM","KSU","ILMN","XEL","F","NEM","NVR","NKE","NSC","NTRS","NOC","WFC","NUE","COF","ODFL","ORCL","PCAR","EXC","PH","PAYX","ALGN","PPL","PEP","PFE","COP","PXD","MO","PNC","PPG","COST","TROW","DGX","PG","PGR","PEG","PHM","GPN","QCOM","O","REGN","RMD","USB","ROST","ROL","ROP","ROK","RCL","TRV","FIS","MRK","SLB","SCHW","POOL","ZBH","ABC","PFG","SHW","CNC","SIVB","SPG","PRU","AAP","EIX","SO","LUV","T","CVX","STT","SBUX","PSA","SYK","NFLX","SNPS","SYY","ISRG","TFX","TER","TXN","TMO","TIF","TSCO","TYL","TSN","UNP","UNH","VAR","VTR","VFC","VRTX","VMC","WMT","WM","WAT","WST","SJM","WDC","WAB","WY","WHR","SWKS","NDAQ","CME","WMB","LNT","KMX","XLNX","TJX","ZBRA","RF","DPZ","EXR","LVS","DLR","MKTX","CE","DXCM","AMP","LYV","CMG","TDG","MA","BR","DAL","DFS","BK","ULTA","MSCI","PM","V","AWK","CB","MPC","FBHS","KMI","XYL","SWK","LYB","GRMN","PLD","ACN","HCA","VRSK","FLT","FRC","STX","DG","FTNT","TEL","ORLY","GM","CBRE","EXPE","APTV","PSX","AMT","FB","DUK","NOW","MDLZ","ETN","ABBV","TMUS","ZTS","CDW","INFO","WLTW","IQV","BKNG","LDOS","AVGO","TWTR","EVRG","ICE","STE","CI","DOW","AMCR","PEAK","NLOK","DD","CARR","OTIS","CTVA","LHX","TT","TFC","VIAC","IR","PAYC","AON","RTX","ANET","CTLT","SYF","CFG","KEYS","QRVO","ANTM","CCI","MDT","WBA","EQIX","ES","ETSY","JCI","KHC","FTV","SPGI","HLT","GOOGL","WELL","HPE","PYPL","HPQ","GOOG","WEC","MNST","LIN","SBAC","CHTR"
"2020-03-04",594,24,12,17,59,334,29,20,11,6,30,36,49,6,55,13,16,20,8,16,18,56,6,921,9,7,10,31,8,42,16,16,12,19,7,87,2,29,12,14,6,223,17,5,37,3,34,12,9,14,7,40,5,13,25,16,191,25,12,56,22,0,7,182,4,18,7,46,25,51,3,75,58,8,14,6,6,8,6,6,9,99,5,189,20,109,11,220,200,3,2,7,12,8,0,0,0,5,13,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,3,0,0,21,0,173,4,99,27,7,3,88,9,12,78,2,8,0,34,3,70,7,5,2,1,11,107,5,15,15,23,36,18,61,17,2,14,19,28,22,70,54,29,33,60,1,50,19,6,7,1,12,5,65,80,15,357,61,15,17,93,6,23,29,99,69,8,66,2,10,25,79,6,14,10,53,17,11,5,2,27,10,24,95,25,8,38,23,15,215,3,23,30,7,18,11,5,59,37,113,2,25,85,2,3,1,73,15,11,52,24,35,5,4,13,3,8,108,16,14,11,22,14,9,34,140,95,12,120,6,5,356,4,5,14,3,9,10,41,5,7,4,8,17,355,2,10,10,35,11,77,35,18,2,11,14,3,8,14,46,7,22,12,3,3,6,26,7,26,12,5,16,23,7,10,29,36,28,144,12,69,9,138,16,20,13,7,22,102,35,4,23,5,11,4,9,3,17,3,13,12,3,18,10,76,12,2,39,10,114,2,30,13,12,19,399,20,56,13,70,58,15,8,1,1,2,6,56,12,22,298,16,23,7,132,53,4,3,3,5,0,0,1,10,17,5,78,40,10,3,0,11,5,11,21,15,6,120,20,13,23,19,352,84,16,24,10,12,31,157,4,131,53,30,148,8,17,27,7,38
"2020-03-05",565,34,9,8,66,478,43,12,10,20,20,18,71,24,39,27,16,22,9,30,18,42,9,968,19,22,10,15,8,22,7,27,24,16,3,80,2,11,18,23,8,496,32,6,16,2,47,12,7,4,8,52,7,6,14,7,94,19,10,33,35,0,8,193,6,3,5,47,79,50,6,78,41,7,27,9,49,18,2,11,9,69,5,74,20,66,7,392,81,3,1,9,3,12,0,0,0,24,15,27,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,61,0,9,0,0,27,0,137,11,94,21,16,12,51,7,7,21,7,6,4,17,1,107,11,4,5,4,14,123,5,12,20,27,20,24,279,31,3,16,7,33,20,58,28,25,19,60,7,53,28,11,3,18,26,4,30,39,58,389,69,6,21,91,7,14,23,80,117,3,66,9,19,18,122,12,15,5,47,15,5,8,3,14,11,29,77,30,33,39,23,13,451,7,75,25,15,14,14,5,50,15,76,15,34,44,8,2,4,273,7,15,55,37,52,2,11,12,8,8,26,23,25,18,10,5,19,150,110,60,26,195,16,14,511,21,11,21,10,7,14,24,8,8,27,13,13,104,9,12,8,37,7,90,25,7,3,8,31,3,7,10,42,8,24,16,4,6,15,15,6,18,20,14,33,25,19,7,40,20,34,72,9,65,7,196,8,17,18,6,39,95,25,6,62,8,8,6,13,3,5,10,9,15,10,29,17,24,13,6,35,9,105,6,36,16,14,15,466,14,35,11,86,62,18,9,6,3,7,4,50,11,31,329,38,14,5,36,64,2,6,8,4,0,0,4,6,7,6,105,28,13,5,0,14,1,5,38,23,17,32,16,23,19,12,345,41,16,35,1,9,28,201,8,37,49,59,241,13,22,15,24,23
"2020-03-06",587,37,13,20,60,439,39,16,4,9,14,24,60,26,29,23,16,29,6,21,28,28,8,985,13,25,7,9,7,34,5,30,13,22,8,61,5,23,13,11,5,484,18,2,28,3,34,33,2,16,16,37,3,5,16,4,54,13,6,29,26,0,9,316,10,2,5,64,63,35,6,98,47,5,11,7,62,14,6,8,12,55,13,68,34,93,8,314,48,5,10,7,7,13,0,0,0,13,14,29,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,18,0,7,0,0,26,0,147,4,119,18,11,2,62,10,9,16,4,5,8,23,6,69,15,9,6,7,9,135,6,12,30,32,18,23,116,14,1,11,13,77,24,51,31,29,21,61,3,53,22,7,10,9,19,6,30,43,33,440,69,10,29,80,6,9,11,130,97,3,73,12,14,12,128,8,18,3,30,24,6,11,10,14,14,29,87,21,23,27,15,10,362,18,49,42,6,12,22,13,52,26,44,9,22,67,13,5,6,254,5,5,71,34,23,2,14,17,7,21,23,17,20,25,15,7,22,81,101,67,8,238,15,10,422,4,10,19,2,3,12,10,8,5,8,9,20,58,4,20,14,18,4,110,21,4,3,6,22,4,2,12,30,16,23,20,2,4,7,22,14,29,19,9,39,17,12,13,42,21,28,106,12,66,11,186,11,8,22,17,22,99,12,2,16,2,23,5,11,8,14,9,15,7,4,20,11,29,10,16,47,10,52,20,60,6,17,20,518,9,42,12,53,45,16,18,9,2,6,5,76,13,21,247,17,17,3,17,62,2,9,3,19,0,0,5,3,14,10,70,24,10,6,0,20,2,6,20,14,27,23,21,25,33,6,438,20,13,34,2,42,29,218,9,23,58,26,247,11,18,4,28,9
"2020-03-07",169,13,4,7,22,76,52,17,11,9,12,8,14,14,27,20,15,22,8,10,14,12,13,297,10,15,16,4,12,23,6,8,6,10,15,33,2,10,2,9,8,99,4,5,9,4,11,8,4,11,2,14,3,11,18,4,23,15,9,17,14,0,4,68,1,4,5,22,29,17,8,24,14,6,8,7,13,8,7,3,7,35,4,39,6,39,8,121,30,3,5,9,6,7,0,0,0,8,12,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13,0,7,0,0,4,0,65,3,29,29,9,2,19,4,5,11,4,4,6,8,2,42,6,6,2,4,10,53,6,7,15,10,21,11,27,2,0,14,14,10,5,41,17,16,28,15,4,33,4,4,3,6,11,9,25,12,19,168,22,11,23,33,3,2,21,34,56,4,21,5,8,7,41,7,6,9,42,2,4,5,3,12,12,8,25,19,14,24,10,2,90,9,27,21,12,6,14,10,22,25,38,5,19,39,4,3,3,91,12,6,20,22,15,4,3,5,1,6,11,28,10,8,11,9,13,32,43,44,9,78,8,17,140,6,3,8,6,4,8,8,8,5,7,4,17,35,3,12,6,7,9,41,11,5,3,7,8,6,4,9,20,10,26,10,6,2,7,7,6,8,17,2,12,10,12,8,26,21,17,28,8,30,14,52,5,10,16,12,8,36,10,2,14,7,7,3,11,2,6,5,13,3,2,13,5,37,23,4,25,8,19,7,33,1,10,5,195,7,23,9,53,15,5,5,4,3,6,2,35,6,30,126,14,9,2,22,22,1,0,6,10,0,0,8,4,8,6,28,18,9,7,1,6,4,3,19,15,24,12,12,8,16,4,74,9,0,5,1,9,8,68,4,4,12,8,79,8,13,1,29,5
"2020-03-08",165,14,2,12,19,102,38,12,7,6,14,13,6,10,17,6,10,4,5,5,20,17,6,313,5,5,4,4,9,34,4,7,6,10,3,26,3,16,3,10,3,99,12,10,9,2,11,7,4,12,8,21,7,2,17,6,22,12,2,15,15,0,12,53,5,3,4,26,36,17,5,121,23,6,4,10,13,2,3,4,4,40,9,37,8,34,10,137,24,3,9,2,2,5,0,0,0,3,13,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,16,0,4,0,0,4,0,66,6,35,16,5,3,20,2,18,15,5,1,1,11,9,32,9,15,3,6,8,32,3,9,6,7,22,6,33,7,1,2,4,12,11,33,13,12,20,18,6,24,5,2,2,4,12,4,9,15,14,128,35,8,1,24,7,8,6,44,50,3,15,6,4,5,27,9,10,11,28,3,6,9,4,4,6,14,29,20,16,19,6,3,97,3,21,27,7,7,9,11,26,26,43,5,9,18,8,2,7,98,14,3,12,29,9,1,9,5,4,8,17,9,5,8,5,4,8,29,40,81,5,57,7,14,137,4,4,4,4,1,7,2,8,11,6,5,14,23,4,9,9,14,7,32,13,1,2,8,9,8,1,2,21,9,13,11,4,5,8,5,6,4,8,5,15,6,5,1,13,11,16,33,5,29,5,71,14,5,28,4,6,33,12,3,15,3,14,3,17,8,8,4,11,2,2,22,1,37,23,11,25,3,26,2,25,7,16,11,154,6,19,5,41,19,8,4,1,5,1,6,31,9,32,93,9,11,4,12,37,1,2,0,4,0,1,4,2,5,2,20,13,5,6,0,6,2,6,5,13,15,4,5,11,11,3,176,12,4,9,3,1,12,60,7,21,15,7,63,3,7,4,17,4
"2020-03-09",749,23,10,20,58,339,54,16,9,6,24,18,32,35,61,17,14,31,8,11,35,42,13,1230,19,14,15,15,6,76,7,63,8,17,6,77,4,10,9,17,8,394,23,11,18,3,53,35,5,9,4,49,4,7,19,13,38,6,10,70,29,0,16,323,5,5,9,67,99,42,10,210,36,5,16,9,36,5,15,30,16,46,53,77,22,76,9,420,111,15,3,7,5,20,0,0,0,9,8,25,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,20,0,7,0,0,42,0,155,9,153,9,4,20,48,14,13,20,5,6,4,15,9,105,12,6,12,6,9,108,11,21,17,24,21,32,65,8,1,18,14,36,23,55,41,28,24,53,6,76,33,18,10,6,29,12,40,37,24,492,77,4,7,91,9,6,14,134,80,3,48,15,16,16,146,7,42,8,42,18,9,5,13,16,15,33,70,87,68,32,33,14,208,14,29,53,13,9,7,9,65,27,26,8,32,18,8,8,4,194,19,15,44,206,26,15,9,15,6,13,32,16,11,22,35,15,21,59,99,209,6,107,7,17,423,9,2,15,6,11,18,12,8,30,2,6,23,58,20,8,10,24,3,268,14,4,2,15,12,3,1,5,45,22,27,22,5,10,10,10,9,17,35,15,29,29,12,7,24,16,26,47,8,65,11,118,25,12,32,10,17,105,12,13,29,3,49,9,9,14,12,5,21,5,12,14,14,22,52,11,13,48,70,7,25,5,36,16,517,20,26,12,28,59,23,12,4,9,49,9,57,7,57,637,5,23,13,20,166,3,5,9,20,0,0,3,6,19,10,65,20,8,37,0,7,3,3,14,23,20,12,19,30,26,8,665,19,12,20,16,9,26,185,17,19,33,39,259,9,6,9,14,11
"2020-03-10",574,24,8,10,77,242,74,11,15,17,9,29,34,41,32,14,9,20,14,16,23,40,18,1090,17,7,8,22,13,36,6,33,16,22,16,53,8,14,11,17,4,442,24,6,39,2,59,40,9,7,7,27,9,13,12,19,16,11,12,69,13,0,12,210,11,9,12,52,63,58,13,85,38,4,9,4,17,6,8,9,10,76,8,55,7,69,3,376,42,11,12,6,5,20,0,0,0,10,9,59,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,13,0,6,0,0,35,0,114,8,130,15,13,21,64,10,7,49,11,5,7,10,8,106,21,12,5,10,9,78,11,12,26,24,19,23,46,15,11,13,11,22,41,56,45,39,18,76,5,100,20,7,5,12,23,9,95,31,35,407,70,13,6,88,4,10,10,94,51,3,58,8,7,12,95,10,21,9,20,7,8,5,10,18,35,45,46,40,65,33,19,8,127,12,54,29,14,4,12,19,91,24,48,6,14,15,2,6,3,456,8,13,40,68,28,7,15,11,7,15,27,5,23,20,10,8,17,69,93,147,13,132,13,14,419,5,15,8,3,11,37,12,11,22,3,14,16,56,20,28,8,19,13,117,8,4,5,8,20,6,6,6,28,17,20,29,7,7,22,10,12,7,46,12,14,13,7,6,48,13,19,38,16,60,11,215,9,8,28,14,10,96,11,8,12,4,19,12,9,8,5,8,27,18,9,11,4,65,50,4,19,16,34,5,20,8,9,19,388,14,41,6,45,38,18,14,3,14,19,9,74,18,53,264,5,14,8,27,84,47,4,2,17,0,0,12,5,18,5,60,20,3,20,0,19,2,9,21,15,21,24,16,21,24,13,414,23,5,16,3,9,34,148,27,17,22,33,263,7,10,14,10,20
"2020-03-11",627,24,5,6,80,322,60,8,16,13,22,12,36,39,43,13,18,30,31,15,18,63,7,979,21,8,2,16,16,11,9,38,7,12,10,71,4,38,6,16,7,1352,27,2,31,2,43,31,10,6,16,39,7,8,8,15,13,12,5,41,27,0,19,238,16,8,11,66,50,69,22,88,33,4,6,4,17,6,4,9,7,66,15,60,16,73,11,504,23,12,4,8,7,16,0,0,0,21,10,39,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,15,0,8,0,0,22,0,120,6,177,20,10,6,68,5,17,21,4,2,7,15,6,84,15,10,4,11,13,147,12,17,23,22,24,40,41,21,3,24,16,90,17,46,41,28,21,76,6,73,15,10,10,9,15,9,78,36,19,394,69,5,17,63,5,13,7,101,75,7,107,17,20,5,95,6,11,11,42,10,11,5,12,11,15,132,105,27,38,18,27,11,95,18,34,63,21,7,9,14,51,23,84,5,30,12,6,7,3,241,12,14,82,37,24,6,12,4,12,10,21,5,35,19,5,10,7,50,123,76,22,138,17,15,406,29,13,15,8,19,13,10,6,25,4,19,10,64,5,24,4,17,9,127,27,7,9,9,20,9,7,8,22,17,16,40,6,11,6,17,8,10,17,19,32,21,11,11,54,5,47,45,10,91,10,113,9,8,30,6,19,116,9,15,32,3,26,5,9,38,11,7,21,3,12,9,5,112,60,9,20,6,52,3,52,4,16,15,429,11,25,13,43,37,50,5,7,6,14,7,59,11,58,339,4,12,6,14,112,9,2,5,12,0,0,3,5,16,9,51,25,9,23,0,8,0,4,6,13,19,16,17,17,15,5,455,25,18,39,6,12,66,197,14,10,29,15,240,11,26,10,5,39
"2020-03-12",750,20,10,10,79,299,198,20,10,19,25,17,41,31,56,15,21,41,23,19,35,64,15,1367,17,11,10,19,19,16,12,74,15,20,17,87,5,25,15,35,15,1074,13,11,26,3,42,28,10,11,15,49,7,9,15,22,18,20,10,76,13,0,15,229,5,13,18,58,48,57,8,81,18,15,13,13,4,6,7,16,9,56,10,69,20,70,7,823,24,5,8,14,6,32,0,0,0,10,8,32,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,25,0,8,0,0,16,0,144,3,138,11,18,6,63,6,21,27,8,2,9,7,9,90,23,16,6,6,15,155,4,5,21,25,20,36,40,26,2,42,21,80,69,56,34,20,30,92,8,67,21,12,2,5,26,3,57,39,17,507,79,10,10,81,13,19,28,133,95,10,110,35,16,25,120,17,21,11,152,16,5,12,11,15,13,54,119,31,25,38,18,10,108,17,28,61,13,17,11,6,51,29,51,8,12,8,5,4,9,259,19,11,115,40,19,8,11,8,17,6,15,12,20,30,5,13,15,60,147,78,8,142,21,11,522,7,12,16,5,10,17,22,7,10,4,13,18,65,17,30,6,20,8,113,19,2,2,5,10,16,12,16,20,28,29,46,4,8,12,16,9,9,24,14,53,21,5,10,31,16,73,91,9,95,11,219,10,14,107,8,23,111,9,9,40,3,32,17,3,11,8,17,23,14,8,28,10,48,133,9,21,8,56,6,43,10,26,33,489,30,24,5,22,48,32,3,3,2,9,11,48,15,142,320,6,8,5,14,182,8,6,6,12,1,0,5,2,13,7,65,10,13,13,0,8,0,9,10,6,11,23,18,23,18,5,686,27,13,31,3,21,37,232,41,8,29,34,279,13,5,12,15,11
"2020-03-13",626,21,7,8,61,292,219,23,13,11,20,13,41,42,43,12,21,38,23,11,28,61,15,1327,22,22,10,13,15,7,6,66,7,31,12,73,7,29,14,21,3,474,16,9,19,3,26,47,8,13,13,34,4,10,4,6,31,20,18,45,24,0,20,244,14,23,15,63,26,51,2,76,26,6,6,7,6,4,15,41,9,59,3,142,24,79,5,764,43,7,12,5,4,15,0,0,0,14,8,23,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,15,0,4,0,0,27,0,132,2,144,9,22,11,40,3,32,14,3,10,20,15,2,96,14,12,9,8,13,108,10,8,26,11,23,26,39,18,1,16,21,38,35,43,45,28,20,65,3,46,33,9,5,9,22,2,47,70,43,613,47,4,12,62,7,19,22,123,70,13,74,13,21,13,96,6,10,5,166,8,12,14,9,17,10,37,67,33,16,25,14,10,103,13,64,54,15,13,12,10,43,34,45,11,29,24,7,7,5,310,9,7,70,29,48,9,19,11,12,15,34,9,25,24,12,12,23,61,112,63,18,112,8,18,361,15,12,22,5,10,16,36,16,6,2,6,16,50,13,24,6,18,9,206,26,7,18,7,12,12,3,11,17,9,16,37,8,6,10,6,7,11,17,14,31,40,6,5,21,18,93,53,37,58,4,234,10,11,120,16,17,92,7,8,23,5,33,10,6,14,6,18,16,13,6,24,5,20,44,11,38,9,48,5,62,4,24,34,405,10,20,7,49,37,40,10,1,2,9,5,55,16,195,247,3,6,6,22,109,15,7,2,7,2,2,7,3,18,6,46,13,14,11,0,18,2,10,9,19,11,17,16,15,58,9,465,32,5,31,8,14,17,265,19,9,40,23,278,14,13,15,13,20
"2020-03-14",216,6,2,4,12,57,53,17,11,4,17,15,11,13,26,6,7,14,3,6,11,13,4,544,11,10,10,2,5,4,9,23,8,37,2,22,2,4,2,20,7,155,4,12,18,1,14,20,5,6,10,40,2,4,4,11,12,10,10,16,12,0,13,56,7,9,13,32,13,27,5,22,8,3,8,5,1,3,1,8,10,43,5,104,8,28,6,178,6,6,4,4,3,28,0,0,0,8,14,24,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,0,4,0,0,4,0,51,4,48,3,10,5,24,8,5,13,5,3,13,4,2,48,11,12,6,5,3,35,9,4,12,9,20,14,30,2,4,2,15,14,13,38,21,14,14,50,13,37,6,4,2,5,25,1,36,35,13,204,35,3,12,38,8,2,12,34,37,2,23,3,6,11,15,3,4,4,41,2,4,5,3,6,6,26,21,18,8,9,6,3,86,6,19,33,11,8,5,4,22,25,10,2,11,6,6,2,2,61,8,8,21,12,9,1,12,5,4,4,5,7,15,16,2,9,11,32,54,34,19,61,9,8,130,7,19,3,5,6,10,48,9,5,1,12,5,15,19,9,8,10,13,76,17,2,2,5,8,14,8,6,10,11,6,13,6,4,4,2,13,3,16,12,10,12,4,3,65,9,14,27,6,30,0,77,10,1,21,9,8,42,4,6,5,3,10,9,5,9,6,7,21,6,8,6,3,16,13,5,17,6,19,10,19,4,11,15,140,12,17,6,23,21,7,7,2,1,5,1,25,2,24,110,5,8,5,8,29,2,2,0,3,0,0,1,1,14,4,17,10,10,8,0,13,2,5,9,14,1,4,7,8,19,7,91,13,1,10,6,3,10,89,4,5,21,12,94,6,9,3,13,8
"2020-03-15",293,11,6,5,31,72,55,18,5,6,18,6,13,5,21,3,9,9,6,6,8,18,4,483,6,11,6,13,4,5,1,8,8,19,14,32,4,21,1,15,5,210,4,8,21,4,16,21,6,10,13,32,6,3,1,4,21,9,10,18,16,0,12,170,1,16,14,30,13,23,7,34,17,7,15,7,7,9,6,8,5,28,4,79,9,76,3,194,13,4,8,2,2,23,0,0,0,4,8,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,3,0,0,3,0,62,9,128,7,6,2,34,6,10,10,3,3,14,7,5,55,10,6,3,4,11,43,9,15,23,19,13,21,46,5,2,17,15,25,11,53,22,17,17,31,9,38,5,10,4,5,18,12,28,29,14,172,24,3,12,34,7,8,9,55,30,4,137,7,4,15,54,8,20,3,27,4,7,5,8,3,4,18,32,20,6,13,17,5,73,15,19,17,16,5,3,4,18,25,25,13,13,4,1,3,5,53,16,4,17,6,8,0,5,7,7,3,6,4,14,15,2,7,14,46,42,23,16,70,7,8,158,3,6,15,2,4,11,26,9,1,1,6,5,16,12,7,5,13,1,124,34,1,4,8,12,10,9,4,7,9,5,8,3,10,4,17,8,1,19,5,35,19,3,0,15,10,18,41,4,30,2,95,10,17,44,13,10,35,8,9,8,7,13,5,2,5,1,2,9,6,5,10,5,24,7,8,17,9,16,1,26,1,5,22,204,14,10,10,22,26,22,11,6,2,2,5,24,4,34,101,3,8,2,12,59,3,1,0,4,0,0,2,2,22,1,17,26,7,5,0,9,1,3,4,14,4,7,7,12,15,5,236,10,8,11,2,4,8,163,4,2,14,14,112,8,6,9,11,5
"2020-03-16",752,19,21,11,48,246,87,20,9,11,25,17,43,36,47,18,13,27,23,18,24,48,5,1231,41,11,15,21,21,31,10,42,20,10,29,65,3,19,5,14,10,829,17,11,18,7,31,10,10,8,17,66,8,22,5,16,48,8,6,115,27,0,20,255,19,19,20,57,102,61,7,61,21,40,16,12,11,7,11,17,6,69,13,77,14,68,5,398,24,13,5,12,2,45,0,0,0,14,8,15,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,23,0,2,0,0,8,0,120,5,152,13,15,3,93,10,13,18,9,14,12,7,4,88,8,6,5,5,9,89,21,11,31,11,32,29,149,15,3,14,21,24,27,61,97,38,28,162,7,124,10,9,10,7,16,5,41,48,14,470,54,3,9,54,8,6,12,122,64,10,106,15,12,12,122,7,23,6,49,2,11,9,9,17,16,29,71,35,32,63,19,21,112,25,18,79,18,11,13,16,43,45,95,14,21,24,8,22,4,144,19,5,39,23,12,1,9,16,7,18,29,19,35,32,12,7,23,127,100,75,24,156,10,15,360,11,25,20,7,9,11,42,29,9,5,11,11,44,11,15,15,19,13,144,25,1,3,22,20,5,6,12,12,10,12,18,7,16,10,17,14,15,32,7,88,15,5,5,28,19,26,69,20,57,7,235,22,20,61,4,23,92,21,17,19,6,25,3,15,38,19,9,27,14,6,18,1,24,20,8,8,10,56,13,30,8,18,32,394,22,23,6,29,38,29,9,4,9,11,4,35,1,85,280,2,17,4,9,131,9,7,4,8,0,0,3,7,13,6,35,13,9,18,0,19,1,11,11,13,7,11,13,22,43,19,367,27,4,23,4,16,14,190,12,19,30,24,202,15,6,6,13,21
"2020-03-17",957,28,15,10,49,221,79,25,11,8,24,27,37,26,68,17,16,21,15,20,36,50,7,1063,38,12,17,18,8,21,17,25,67,33,21,72,12,48,10,33,14,1586,16,12,17,2,26,26,8,21,8,218,12,18,8,9,71,16,8,57,50,0,23,173,17,14,12,68,195,47,6,65,74,28,33,14,6,4,17,11,14,94,11,99,22,94,9,306,18,17,2,9,2,52,0,0,0,24,17,29,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,7,0,0,17,0,147,11,123,18,16,55,96,27,28,15,6,7,16,19,8,123,12,6,4,6,6,111,10,13,38,23,33,36,114,26,7,18,24,25,41,46,36,40,32,78,10,206,27,8,6,7,17,4,33,38,43,438,65,5,11,52,9,11,14,152,90,10,66,9,5,24,121,7,33,11,40,7,11,15,9,17,7,50,143,27,29,25,26,12,191,8,37,103,33,7,11,5,48,22,312,18,32,16,15,12,13,116,21,5,79,25,21,4,11,10,2,21,14,7,40,29,13,17,26,89,108,55,33,149,10,6,357,9,31,34,9,6,12,68,38,7,3,24,12,47,13,18,4,19,5,200,24,1,6,25,18,12,5,12,12,7,28,24,3,13,10,23,5,23,27,13,63,40,4,5,30,19,17,72,43,52,9,220,27,19,54,8,13,85,18,22,16,5,23,8,13,18,10,14,15,8,3,13,8,35,42,16,13,10,83,7,43,10,11,40,499,23,50,6,31,60,31,14,7,11,7,6,38,5,62,207,6,13,12,12,115,7,14,3,5,0,1,3,5,12,12,54,26,13,16,0,28,2,7,14,7,3,14,17,7,19,17,364,13,5,23,6,11,23,206,13,10,33,32,241,19,6,15,7,16
"2020-03-18",869,42,11,14,62,224,46,21,14,9,24,28,36,25,88,16,17,34,16,14,15,40,1,1121,15,7,6,21,17,13,11,39,37,21,12,71,1,52,3,32,6,1670,17,11,27,3,23,29,7,25,19,179,5,8,4,7,57,18,10,75,49,0,17,236,7,12,22,112,151,80,6,141,179,44,31,9,12,5,17,24,10,48,15,94,24,57,10,402,22,17,6,14,5,67,0,0,0,6,27,31,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,24,0,7,0,0,46,0,138,5,145,15,23,51,89,44,10,18,7,15,8,7,7,100,11,11,7,3,11,104,15,9,47,19,30,25,190,33,6,52,49,43,41,63,47,41,15,155,11,149,28,10,14,13,34,7,38,55,27,397,60,4,8,60,10,6,12,233,81,21,54,11,10,23,86,13,30,2,30,8,13,5,17,18,14,36,103,69,23,28,20,9,201,9,27,58,19,21,13,8,32,71,126,21,27,11,10,10,7,114,14,7,46,30,16,15,5,10,3,18,13,13,98,18,8,9,15,75,109,110,8,285,10,21,426,5,43,29,5,1,18,31,28,14,5,10,17,56,9,36,4,29,5,413,17,3,7,23,23,8,4,13,7,12,23,28,6,10,14,17,11,20,39,12,56,23,7,3,33,9,42,118,60,85,5,326,29,28,41,20,20,113,15,14,24,5,27,2,8,21,17,8,28,21,9,26,3,32,23,15,17,13,234,5,57,20,16,16,554,11,31,14,42,53,28,11,7,10,10,10,45,4,49,271,3,31,10,32,126,16,9,6,10,0,2,4,8,13,7,44,16,11,18,0,16,4,12,11,23,12,15,11,28,64,24,391,21,10,28,4,11,170,179,19,13,37,16,186,14,13,13,12,35
