,amount_favorite,amount_retweet,date,followers,following,retweet,screen_name,tweet,tweet_id,verified
39,2.0,0.0,2020-06-09 16:05:15,4013.0,45.0,0.0,KRose_TDA,"S&amp;P 500 #stocksToWatch on Bear runs
Gapping down today and continuing to run as of 12:05 ET
$ZBH $ALL $TEL $BR $AES $IT $AES $NWL $MLM $PRU
Adv/Dec all stocks=.3
Will they bounce? 
Monitor multiple stocks on one day 3m #thinkorswim charts with this link:
https://t.co/dpm52a8JJg https://t.co/flt79PIFf1",1.27038648416879e+18,0.0
40,17.0,1.0,2020-06-09 11:06:56,2314.0,1022.0,0.0,LanaKares823,"Morning!

My picks of the day are:

$AES - looks like a good hold; pretty steady over the years

$DGLY - interested to see this one grow; price low over the years but given the world today hopping on for growth

$IZEA - has a new Forturne 500 client 👀

What are your picks?",1.2703114111184118e+18,0.0
41,0.0,0.0,2020-06-11 19:47:09,78.0,437.0,0.0,vtwinrider2,Did some buying today and added to existing positions . $APT $AES $AMD,1.271167105304494e+18,0.0
42,0.0,0.0,2020-06-09 20:12:38,644.0,119.0,0.0,DisciplenedDivs,"@vikosuave Currently, I do not own any shares with these companies, however, I am definitely looking to add some though!

Personally, I think Utilities are a great stock option because they are pretty recession-proof!

People will always need Utilities!! 

Also, looking at $AES",1.2704487431297597e+18,0.0
43,0.0,0.0,2020-06-08 17:41:50,78.0,437.0,0.0,vtwinrider2,"$AES broke $15 once, retreated, and retreated again after the second time. Good volume accumulation. Still needs to close above $14.99",1.2700484034609603e+18,0.0
44,0.0,0.0,2020-06-08 20:58:15,4781.0,6.0,0.0,otcdynamics,$AES DP&amp;L residential customers will pay less on monthly electric bill https://t.co/67Dnhte8FY,1.2700978352754934e+18,0.0
45,0.0,0.0,2020-06-11 17:05:43,255.0,0.0,0.0,mhedberg718,$AES might be worth taking a position when this bottoms  -4.84 % change recently https://t.co/OjhZni5N5N,1.2711264771283968e+18,0.0
46,1.0,0.0,2020-06-08 17:19:21,4013.0,45.0,0.0,KRose_TDA,"S&amp;P500 #stocksToWatch on BULL runs. Gapping up today and continuing to run as of 1:19 ET:

$HRB $AES $FLS $HOG $NOV $IVZ $NRG $EIX $CBOE $AKAM

SPX Adv/Dec =2.2

Will they fade?

Monitor multiple stocks on one day 3m #thinkorswim charts with this link: 
https://t.co/oDW1TVPNRi https://t.co/6e0BcStXRc",1.2700427473999995e+18,0.0
47,0.0,0.0,2020-06-07 22:22:01,6578.0,6473.0,0.0,mediasentiment,$AES  new alert at https://t.co/A7qrDarJHY  #stocks #daytrading  #NYSE #NASDAQ #market 1665,1.269756527428219e+18,0.0
48,1.0,0.0,2020-06-10 01:29:16,507.0,43.0,0.0,BERNARDCLAY9,"$btg, $ppl, $kr, $ing, $db, $aptv, $mpc, $alk, $eqt, $zm, $gt, $car, $aa, $mrna, $infy, $bkr, $aig, $cnhi, $wmt, $amrn, $carr, $disca, $tpr, $nflx, $gild, $amtd, $paa, $cop, $syf, $stwd, $stor, $ssl, $kim, $cgc, $ally, $jnj, $aeo, $pep, $amcr, $eog, $am, $aes, $atvi, $amat, $mt https://t.co/QCdpNd79eK",1.2705284266134364e+18,0.0
49,0.0,0.0,2020-06-08 12:36:08,1875.0,759.0,0.0,UncleStock,$DJU US Dow Jones Utility top: $NEE $EXC $SO $AES. Selected by our stock screener: https://t.co/PRPYP6oamH #stocks  #valueinvesting #valuation,1.2699714711719772e+18,0.0
,amount_favorite,amount_retweet,date,followers,following,retweet,screen_name,tweet,tweet_id,verified
0,0.0,0.0,2020-06-05 17:03:19,746.0,9.0,0.0,TranscriptDaily,AES $AES PT Lowered to $17.00 at JPMorgan Chase &amp; Co. https://t.co/9jHPqmfaWf,1.268951546173231e+18,0.0
1,0.0,0.0,2020-06-05 14:07:16,7182.0,769.0,0.0,Tickeron,"$AES in Uptrend: price may ascend as a result of having broken its lower Bollinger Band on May 13, 2020. View odds for this and other indicators: https://t.co/10qjN1YT6S #AES #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/1OdioXDPE1",1.2689072430485873e+18,0.0
2,0.0,0.0,2020-06-04 18:24:41,4736.0,45.0,0.0,MinteractApp,"Today Top Flow in #utilities sector, Buy Flow &amp; Sell Flow $PEG $CNP $EXC $PNW $NI $FE $CMS $ED $PPL $NRG $SO $D $WEC $DUK $AES $NEE $PCG $EIX $AEP $AEE #stock #stocks #StockMarket #Investment #investing https://t.co/5JE2nlalc3 https://t.co/J8zHPgBM9b",1.2686096380497633e+18,0.0
3,0.0,0.0,2020-06-03 15:40:44,7182.0,769.0,0.0,Tickeron,"$AES's Aroon indicator drops into Downtrend on May 19, 2020. View odds for this and other indicators: https://t.co/nOZozYX47A #AES #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/LNNIcWGt14",1.2682059907526083e+18,0.0
4,0.0,0.0,2020-06-05 20:17:02,225.0,1.0,0.0,sunshineavenue8,$AES short interest ratio is 1.90 on 2019-05-31 https://t.co/1p7fqo6Tml $ORA 9.05 $D 3.17 $NRG 2.84,1.269000297596293e+18,0.0
5,0.0,0.0,2020-06-04 09:20:16,2858.0,11.0,0.0,WatchlistN,AES $AES PT Lowered to $17.00 https://t.co/HrmwJAI4OY,1.26847262952414e+18,0.0
6,0.0,0.0,2020-06-07 10:08:40,255.0,0.0,0.0,mhedberg718,$AES  What happened???  why the bounce??  3.32 % change recently https://t.co/OjhZni5N5N,1.2695719711943516e+18,0.0
7,0.0,0.0,2020-06-05 15:01:27,8589.0,39.0,0.0,InvestingStockz,"Aes Corp, $AES, is up 7.1% - https://t.co/uPKzMN1Hva",1.2689208783619604e+18,0.0
8,0.0,0.0,2020-06-04 16:17:40,5339.0,184.0,0.0,newsfilterio,Siemens-AES JV plans massive Tesla-beating lithium ion batteries $SIEGY $AES $TSLA https://t.co/OHiKz5OjEz,1.2685776695260324e+18,0.0
9,0.0,0.0,2020-06-04 09:20:52,6578.0,6473.0,0.0,mediasentiment,$AES  new alert at https://t.co/A7qrDarJHY  #stocks #daytrading  #NYSE #NASDAQ #market 275,1.2684727804434842e+18,0.0
10,0.0,0.0,2020-06-03 18:56:45,4736.0,45.0,0.0,MinteractApp,"Today Top Flow in #utilities sector, Buy Flow &amp; Sell Flow $D $NRG $EXC $AEE $FE $ED $CNP $ETR $CMS $PEG $NEE $XEL $WEC $EIX $NI $AES $PPL $PCG $SRE $AEP #stock #stocks #StockMarket #Investment #investing https://t.co/5JE2nlalc3 https://t.co/tYoYgzrhA2",1.268255319534248e+18,0.0
11,0.0,0.0,2020-06-05 18:52:06,4736.0,45.0,0.0,MinteractApp,"Today Top Flow in #utilities sector, Buy Flow &amp; Sell Flow $D $PPL $NEE $PCG $ED $DTE $PNW $NI $WEC $AES $SRE $SO $CNP $DUK $NRG $AEP $XEL $CMS $EIX $FE #stock #stocks #StockMarket #Investment #investing https://t.co/5JE2nlalc3 https://t.co/VZjsMzZQuj",1.2689789234189312e+18,0.0
12,1.0,0.0,2020-06-03 00:07:02,78.0,437.0,0.0,vtwinrider2,@mwebster1971 @IBD_Irusha @IBDinvestors $AES   $IIVI,1.2679710160699105e+18,0.0
13,0.0,0.0,2020-06-04 16:13:38,58136.0,1.0,0.0,MarketCurrents,$SIEGY $AES $SIEGY - Siemens-AES JV plans massive Tesla-beating lithium ion batteries https://t.co/2STB7qb6fv,1.2685766566643098e+18,0.0
14,0.0,0.0,2020-06-04 14:49:10,7182.0,769.0,0.0,Tickeron,$AES in Uptrend: Stochastic indicator ascending into overbought zone. View odds for this and other indicators: https://t.co/5n3vZmfJAx #AES #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/7LjoQ6tTeS,1.2685554012235366e+18,0.0
15,0.0,0.0,2020-06-07 13:33:18,7182.0,769.0,0.0,Tickeron,"$AES's 10-day Moving Average crossed above its 50-day Moving Average on June 5, 2020. View odds for this and other indicators: https://t.co/WbvCWdgWun #AES #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/x3fYPVkJuc",1.2696234721051976e+18,0.0
16,0.0,0.0,2020-06-04 06:42:06,6359.0,372.0,0.0,ChartMill,$AES was analyzed by 6 analysts. The buy consensus is at 97%. So analysts seem to be very confident about $AES. https://t.co/3pCcENyliN https://t.co/PQHZYCxmYW,1.2684328248955085e+18,0.0
17,0.0,0.0,2020-06-04 06:13:24,1214.0,69.0,0.0,StockTipRobot,A statistcal analysis of hedge funds concludes you should buy The AES $AES^C #trading,1.2684256012721193e+18,0.0
18,0.0,0.0,2020-06-04 09:20:48,769.0,34.0,0.0,ThisLincolnian,AES $AES PT Lowered to $17.00 https://t.co/uOlvXZ1vOP,1.2684727632594207e+18,0.0
19,0.0,0.0,2020-06-02 12:55:02,2850.0,3569.0,0.0,stockhoot,$AES JP Morgan Maintains to Overweight : PT $17.00 https://t.co/ZHoOn4rbf2,1.267801900822356e+18,0.0
20,1.0,0.0,2020-06-07 16:56:24,151903.0,65.0,0.0,SeekingAlpha,$AES - AES Corp. Is Inexplicably Cheap. https://t.co/ciTg8foJWo #business #stocks #stockmarket,1.2696745836882207e+18,0.0
21,0.0,0.0,2020-06-02 13:56:41,9423.0,74.0,0.0,SwingTradeBot,20 DMA Support today: $LVS $PXLW $INFU $HALO $CTXR $VGIT $CTSO $GDX $DVA $KRNY $LPTH $RARE $XPH $JKS $PBH $OPK $ACOR $AES $BDTX $RTW ... https://t.co/deOpbNHOIE,1.2678174173479813e+18,0.0
22,1.0,0.0,2020-06-05 00:20:24,642.0,3.0,0.0,simonstradeinc,"Tomorrow's #watchlist for #NYSE, #NASDAQ: $AA, $AAL, $AAOI, $AAPL, $AAXN, $ABBV, $ABR, $ACM, $ADAP, $ADI, $ADM, $AEO, $AES, $AFG, $AFL, $AG, $AGNC, $AIG, $AIMT, $AKBA, $AKR, $ALGT, $ALK, $ALL, $ALLY, $AM, $AMAT, $AMC, $AMCR, $AMP, $AMRS, $AMTD, $ANF, $APA, $APHA, $APPS, $APTS",1.2686991538000732e+18,0.0
23,0.0,0.0,2020-06-07 06:51:02,225.0,1.0,0.0,sunshineavenue8,$BIP short interest ratio is 10.54 on 2019-05-31 https://t.co/N5AZe4o4SL $POR 1.75 $CPL 0.70 $NFG 8.23 $AES 1.90,1.269522236085584e+18,0.0
24,0.0,0.0,2020-06-02 12:55:24,3587.0,20.0,0.0,quant_data,"JP Morgan Maintains Overweight on AES, Lowers Price Target to $17
8:55:17am
Related Tickers: $AES",1.267801992178565e+18,0.0
25,0.0,1.0,2020-06-05 03:08:34,567.0,4902.0,0.0,klarkkant,$SIEGY $AES $TSLA - Siemens-AES JV plans massive Tesla-beating lithium ion batteries https://t.co/g4MgOwWUlI,1.268741475875111e+18,0.0
